小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
商检局宿舍,(武侯华西)一环路南四段28号,16347,1996年建成 ,板楼,0.5至0.6元/平米/月,街道办事处（居委会）代管物业,无开发商,6栋,197户
安顺公寓,(锦江合江亭)大川巷9号,16621,2000年建成 ,板楼/塔板结合,1.2至12元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,125户
新玉林城市公寓,(高新芳草)芳草东街82号,17350,2001年建成 ,板楼,1元/平米/月,私人承办物业,成都新世宇有限公司,1栋,159户
双丰西路1号,(武侯外双楠)双丰西路1号,15998,1996年建成 ,板楼,暂无信息,私人承办物业,无开发商,3栋,542户
城南新贵,(武侯航空路)中苑巷2号,16676,2002年建成 ,板楼/塔板结合,0.3至1元/平米/月,私人承办物业,无开发商,2栋,90户
郭家桥正街5号,(武侯川大)郭家桥正街5号,15796,1998年建成 ,板楼,1.5元/平米/月,业主自筹物业,无开发商,1栋,60户
梧桐世家二期,(高新芳草)玉林西路98号,15737,2003年建成 ,板楼,1.2至1.4元/平米/月,私人承办物业,四川恒宇房地产开发有限公司,1栋,113户
成达综合楼,(武侯玉林)人民南路四段28号,16410,2004年建成 ,板楼,1.5元/平米/月,暂无信息,无开发商,1栋,231户
双楠谊苑二期二区,(武侯双楠)二环路西一段102号,15668,2003年建成 ,板楼/塔板结合,0.8至1.2元/平米/月,成都蜀信物业管理有限公司,成都置信实业（集团）有限公司,4栋,159户
金沙新城一期,(青羊金沙)金瓯路330号,17395,2003年建成 ,塔板结合,暂无信息,私人承办物业,无开发商,9栋,570户
仁和时代春天广场,(青羊西南财大)二环路西二段19号,16498,2000年建成 ,板楼,2.7至4元/平米/月,成都仁和春天物业管理有限公司,无开发商,3栋,3402户
牛沙小区,(锦江攀成钢)牛沙后街108号,16730,1998年建成 ,板楼,0.5元/平米/月,业主自筹物业,无开发商,10栋,613户
瑞联路249号,(青羊光华泡小)瑞联路249号,16349,1994年建成 ,板楼,0.1元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,77户
莲花新区南二巷1号,(锦江莲花)莲花新区南二巷1号,14818,1990年建成 ,板楼,0.8至2.5元/平米/月,无物业管理服务,无开发商,1栋,116户
兴蓉南三巷6号,(高新衣冠庙)兴蓉南三巷6号,15860,1995年建成 ,板楼,0.5至5元/平米/月,私人承办物业,无开发商,1栋,72户
天府花园三期,(高新芳草)蓝天路58号,17063,2000年建成 ,板楼,0.9元/平米/月,私人承办物业,无开发商,5栋,90户
新北佳苑,(高新新北)新乐路281号,16503,2007年建成 ,塔板结合,1.3元/平米/月,私人承办物业,成都市城南佳琳实业有限公司,1栋,221户
农垦局宿舍（已拆迁）,(武侯川音)群众路2号,17498,1999年建成 ,塔楼/板楼,暂无信息,私人承办物业,无开发商,6栋,360户
锦顺苑,(武侯火车南站)航空路19号,17388,2000年建成 ,板楼,0.6元/平米/月,私人承办物业,成都长顺房屋开发有限责任公司 ,6栋,141户
府河名居(锦江),(锦江合江亭)天仙桥北路6号,17038,2000年建成 ,塔板结合,1.2至1.28元/平米/月,街道办事处（居委会）代管物业,无开发商,2栋,71户
下莲池街1号,(锦江合江亭)下莲池街1号,16366,1998年建成 ,板楼,0.1元/平米/月,四川锦江宾馆太联企业管理顾问有限公司,无开发商,1栋,63户
崇德里9号,(锦江合江亭)崇德路9号,17559,1999年建成 ,板楼,0.5元/平米/月,业主自筹物业,无开发商,1栋,28户
交大路199号附8号,(金牛西南交大)交大路199号附8号,15877,2000年建成 ,板楼,0.5元/平米/月,成都交大智能物业管理有限公司,无开发商,2栋,56户
五丁路9号,(金牛花牌坊)五丁路9号,15848,2002年建成 ,板楼,1.5至1.8元/平米/月,业主自筹物业,无开发商,4栋,290户
安顺苑,(武侯川音)江天路2号,15655,1999年建成 ,板楼,0.6至1.3元/平米/月,私人承办物业,无开发商,1栋,77户
四道街3号,(青羊八宝街)四道街3号,17496,1991年建成 ,板楼,暂无信息,无物业管理服务,无开发商,3栋,98户
新鸿路396号,(成华新华公园)新鸿路396号,16133,2000年建成 ,板楼,0.5元/平米/月,小区物管处,无开发商,1栋,8户
君雁金梧桐,"(武侯簇桥)金花镇金凤街59号（金凤街和金花横街交汇处）, 金花横街57号",16211,2010年建成 ,塔楼,1.8至2.6元/平米/月,成都天天物业管理有限公司,成都市君雁惠置业有限公司,3栋,441户
槐树街2号,(青羊八宝街)槐树街2号,16786,2000年建成 ,塔楼/板楼,0.5至0.82元/平米/月,业主自筹物业,无开发商,2栋,110户
横四道街2号,(青羊八宝街)横四道街2号,16822,1995年建成 ,板楼,40元/平米/月,业主自筹物业,无开发商,1栋,66户
府青路一段3号,(成华猛追湾)府青路一段3号,16259,1995年建成 ,板楼/塔板结合,1.25至3元/平米/月,单位自管物业,无开发商,16栋,776户
方正花园,(青羊草市街)方正街8号,17471,2000年建成 ,板楼/塔板结合,3元/平米/月,业主自筹物业,成都新和房地产开发有限公司,1栋,57户
锦宏河滨苑,(金牛九里堤)九里堤中路41号,17286,2004年建成 ,板楼,0.8元/平米/月,四川锦宏家族物业管理有限公司,四川大行宏业房地产开发有限公司,8栋,176户
龙江电信公寓,(武侯川音)龙江路16号,16813,2002年建成 ,塔楼,0.8元/平米/月,私人承办物业,成都万华房地产开发有限公司,1栋,254户
东方时代商城,(锦江合江亭)东大街下东大街段328号,16493,1999年建成 ,板楼,3至6元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,346户
曙光国际,(高新市一医院)天晖中街56号,15867,2012年建成 ,塔楼/板楼,5元/平米/月,成都通发众好物业有限责任公司,成都曙光现代物流投资有限公司,2栋,1142户
五丁路1号,(金牛花牌坊)五丁路1号,16678,2002年建成 ,板楼,1.2元/平米/月,业主自筹物业,成都铁路地区旧城改造中心,1栋,96户
西城丽舍,(金牛茶店子)蜀汉路365号附18号,17272,2003年建成 ,板楼,0.6至1.2元/平米/月,成都平安物业有限责任公司,成都恒信房地产有限责任公司,1栋,52户
恒森朗晴居,(青羊府南新区)大庆路70号,15753,2004年建成 ,塔楼,1.2元/平米/月,成都金房物业管理有限公司,成都恒森房地产开发有限公司,1栋,114户
翠堤雅筑,(青羊府南新区)磨底河沿街8号,17339,2003年建成 ,板楼,1元/平米/月,业主自筹物业,成都干道建设综合开发总公司,3栋,264户
鑫城(锦江),(锦江静居寺)静居寺路43号,16060,2000年建成 ,塔楼,1.2至4元/平米/月,私人承办物业,无开发商,2栋,407户
国防家苑,(高新金融城)府城大道799号,16816,2007年建成 ,板楼,1.2元/平米/月,业主自筹物业,无,8栋,1850户
东润理想居D区,(锦江静居寺)净居寺南街188号,16082,2000年建成 ,板楼,0.3至1.2元/平米/月,小区物管处,无开发商,3栋,85户
蓝色空间蓝韵,(金牛花照壁)交大路256号,16213,2000年建成 ,板楼,1元/平米/月,私人承办物业,无开发商,2栋,41户
澄江街1号,(青羊草堂)澄江街1号,15876,1997年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,1栋,50户
鸣翠路1号,(青羊草堂)鸣翠路1号,17345,2000年建成 ,板楼,0.5至0.85元/平米/月,私人承办物业,无开发商,8栋,108户
锦都苑,(青羊草堂)清江东路41号,15664,2003年建成 ,板楼,0.5元/平米/月,私人承办物业,四川金基房地产开发有限公司,4栋,154户
东城根南街30号,(青羊人民公园)东城根南街30号,16419,1996年建成 ,板楼/塔板结合,0.6至2元/平米/月,街道办事处（居委会）代管物业,无开发商,2栋,94户
字库街6号,(青羊宽窄巷子)字库街6号,17025,暂无信息 ,板楼,0.4元/平米/月,私人承办物业,无开发商,2栋,96户
锦西人家三区,(金牛花照壁)长亭路8号,15814,1992年建成 ,板楼,0.2至0.8元/平米/月,暂无信息,秦皇岛和和置业有限公司,4栋,1298户
万年茗居,(成华万象城)万年场万年路57号,16281,2010年建成 ,塔楼,1.2元/平米/月,私人承办物业,四川省华夏房屋开发公司,1栋,193户
蜜城(望平街),(成华猛追湾)望平街33号,17184,2008年建成 ,板楼,1.2元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,244户
西区花园水之缘,(郫都犀浦)兴业南街218号,17251,2006年建成 ,板楼,1至1.5元/平米/月,四川省润无声物业发展有限责任公司,成都志达房产开发有限公司,5栋,55户
长盛苑,(青羊草市街)酱园公所街1号,16491,2002年建成 ,板楼/塔板结合,1.2元/平米/月,成都同盛物业管理有限公司,成都万盛房地产开发有限公司,1栋,279户
上同仁路39号,(青羊八宝街)上同仁路39号,17540,1995年建成 ,板楼,0.3元/平米/月,业主自筹物业,无开发商,1栋,55户
龙华阳光,(武侯外双楠)大华街10号,15973,2005年建成 ,板楼,0.8至3元/平米/月,成都合智合力物业管理公司,无开发商,5栋,589户
城南新贵,(武侯航空路)中苑巷2号,16676,2002年建成 ,板楼/塔板结合,0.3至1元/平米/月,私人承办物业,无开发商,2栋,90户
桐梓林北路1号,(武侯桐梓林)桐梓林北路1号,16192,2000年建成 ,板楼,0.3元/平米/月,私人承办物业,无开发商,2栋,54户
汇锦公寓,(武侯华西)肥猪市街58号,17807,2003年建成 ,板楼,1.45元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,172户
商检局宿舍,(武侯华西)一环路南四段28号,16347,1996年建成 ,板楼,0.5至0.6元/平米/月,街道办事处（居委会）代管物业,无开发商,6栋,197户
蓝天路36号,(高新芳草)蓝天路36号,16071,1999年建成 ,板楼,暂无信息,暂无信息,蓝润置地,1栋,25户
晓天芳苑,(武侯华西)小天西街5号,17437,2002年建成 ,板楼,1.5至3元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,145户
郭家桥正街5号,(武侯川大)郭家桥正街5号,15796,1998年建成 ,板楼,1.5元/平米/月,业主自筹物业,无开发商,1栋,60户
高升桥东路24号,(武侯高升桥)高升桥东路24号,17249,2000年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,3栋,132户
锦东路314号,(锦江九眼桥)锦东路314号,16308,2000年建成 ,塔楼/板楼,0.3元/平米/月,业主自筹物业,无开发商,2栋,200户
牛沙小区,(锦江攀成钢)牛沙后街108号,16730,1998年建成 ,板楼,0.5元/平米/月,业主自筹物业,无开发商,10栋,613户
瑞联路249号,(青羊光华泡小)瑞联路249号,16349,1994年建成 ,板楼,0.1元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,77户
兴蓉南三巷6号,(高新衣冠庙)兴蓉南三巷6号,15860,1995年建成 ,板楼,0.5至5元/平米/月,私人承办物业,无开发商,1栋,72户
莲花新区南二巷1号,(锦江莲花)莲花新区南二巷1号,14818,1990年建成 ,板楼,0.8至2.5元/平米/月,无物业管理服务,无开发商,1栋,116户
双楠谊苑二期二区,(武侯双楠)二环路西一段102号,15668,2003年建成 ,板楼/塔板结合,0.8至1.2元/平米/月,成都蜀信物业管理有限公司,成都置信实业（集团）有限公司,4栋,159户
金沙新城一期,(青羊金沙)金瓯路330号,17395,2003年建成 ,塔板结合,暂无信息,私人承办物业,无开发商,9栋,570户
滨江东路230号,(锦江合江亭)滨江东路230号,17188,1987年建成 ,塔楼,0.5元/平米/月,业主自筹物业,无开发商,1栋,48户
绿岑居,(双流东升镇)东升街道福田路一段18号（双流县交警大队旁）,16684,2016年建成 ,塔楼/塔板结合,1.85元/平米/月,成都家和业好物业管理有限公司,成都市致翔贸易有限公司,3栋,278户
红瓦寺街5号,(武侯川大)红瓦寺街5号,16221,1996年建成 ,板楼,0.5元/平米/月,暂无信息,无,1栋,24户
金盾路50号,(青羊人民公园)金盾路50号,16527,1988年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,73户
桓新巷80号,(武侯华西)桓新巷80号,15875,1995年建成 ,板楼,18元/平米/月,成都市宏新置业发展有限公司,西三教居委会,1栋,86户
锦里西路74号,(青羊人民公园)锦里西路74号,17154,暂无信息 ,板楼,0.7元/平米/月,暂无信息,暂无信息,1栋,20户
下莲池街2号,(锦江合江亭)下莲池街2号,16680,1980年建成 ,塔板结合,0.5元/平米/月,业主自筹物业,无,1栋,65户
三圣街38号,(锦江合江亭)三圣街38号,17476,1990年建成 ,板楼/塔板结合,0.5元/平米/月,私人承办物业,无开发商,1栋,49户
三圣街2号,(锦江合江亭)三圣街2号,17052,1990年建成 ,板楼,0.5元/平米/月,暂无信息,无,1栋,38户
大石东路5号,(青羊人民公园)大石东路5号,16004,1990年建成 ,板楼,0.8元/平米/月,蓝光嘉宝物业金管家,大庆市金茂投资有限公司,2栋,97户
雅仕苑,(锦江合江亭)龙王庙南街20号,16208,1990年建成 ,板楼/塔板结合,0.5元/平米/月,暂无信息,成都武侯蓝光房地产开发有限公司,4栋,183户
西城角巷3号附1号,(青羊八宝街)西城角巷3号附1号,16847,1985年建成 ,板楼,1元/平米/月,暂无信息,科学院自筹,1栋,22户
家园南街6号,(青羊西南财大)家园南街6号,16700,2002年建成 ,板楼,0.5至1.2元/平米/月,私人承办物业,无开发商,5栋,149户
为民新居,(金牛沙湾)光荣巷28号,15979,1999年建成 ,塔楼/板楼/塔板结合,1.3至1.35元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,3栋,856户
下莲池街6号院,(锦江合江亭)下莲池街6号院,16869,1982年建成 ,板楼,0.2元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,1栋,36户
义学巷23号,(锦江合江亭)义学巷23号,16322,1990年建成 ,板楼,2元/平米/月,业主自筹物业, 陕西亿润经贸有限公司 ,2栋,67户
墨池家苑,(武侯川音)四维村6号,16613,1993年建成 ,板楼,0.8元/平米/月,暂无信息,信阳水墨贤嶺置业有限公司,4栋,174户
将军街58号,(青羊宽窄巷子)将军街58号,16030,2002年建成 ,板楼,0.3元/平米/月,街道办事处（居委会）代管物业,暂无信息,1栋,18户
蓉北商贸大道一段39号,(金牛五块石)蓉北商贸大道一段39号,16875,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,3栋,34户
沙湾东一路2号,(金牛沙湾)沙湾东一路2号,16412,1990年建成 ,板楼,0.15元/平米/月,小区业主委员会自管,无开发商,1栋,21户
署前街28号,(青羊八宝街)署前街28号,17039,2005年建成 ,板楼,暂无信息,暂无信息, 合肥万科瑞翔地产有限公司,4栋,58户
新南路90号,(武侯川音)新南路90号,17450,1990年建成 ,板楼,0.5元/平米/月,小区物管处,成都市武侯城市发展投资有限责任公司,1栋,42户
文庙后街34号,(青羊人民公园)文庙后街34号,15964,1998年建成 ,板楼/塔板结合,0.5元/平米/月,街道办事处（居委会）代管物业,单位自建,3栋,59户
孟家巷6号,(青羊人民公园)孟家巷6号,16233,1985年建成 ,平房,0.5元/平米/月,成都金牛万达广场商业管理有限公司,万业集团,1栋,50户
东城根南街56号,(青羊人民公园)东城根南街56号,17464,1996年建成 ,板楼/塔板结合,0.6元/平米/月,街道办事处（居委会）代管物业,无,3栋,94户
东城根南街68号,(青羊人民公园)东城根南街68号,17256,1996年建成 ,板楼,0.6元/平米/月,街道办事处（居委会）代管物业,上海浦陈地产开发经营有限公司,3栋,75户
洛阳路138号,(青羊八宝街)洛阳路138号,16788,1992年建成 ,板楼,1.5元/平米/月,成都成沁,成都铁路局,2栋,60户
鼓楼南街71号,(青羊太升路)鼓楼南街71号,16206,2000年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,42户
文庙前街94号,(青羊人民公园)文庙前街94号,17008,1980年建成 ,塔板结合,暂无信息,私人承办物业,无,1栋,42户
文庙前街71号,(青羊人民公园)文庙前街71号,17301,1986年建成 ,塔板结合,0.5至1.2元/平米/月,私人承办物业,单位自建,2栋,40户
文庙后街81号,(青羊人民公园)文庙后街81号,17077,2000年建成 ,塔板结合,0.5元/平米/月,街道办事处（居委会）代管物业, 重庆桥达茂宸房地产开发有限公司,1栋,42户
饮马河街36号,(青羊八宝街)饮马河街36号,16176,1998年建成 ,板楼,0.5元/平米/月,私人承办物业,"""浙江富园房地产开发有限公司",1栋,28户
欧景蓝天,(高新金融城)机场路土桥段216号,16474,2003年建成 ,塔楼,3元/平米/月,蓝光嘉宝物业服务公司,上海伟业开发有限公司,1栋,1户
数码港五金机电城,(金牛花照壁)金牛坝路4号,17362,暂无信息 ,塔楼,2元/平米/月,暂无信息,暂无信息,3栋,63户
陕西街214号,(青羊人民公园)陕西街214号,15939,1992年建成 ,板楼,0.5元/平米/月,暂无信息,无,3栋,128户
芙蓉古城紫薇园一期,(温江芙蓉古城)芙蓉路518号,16013,2007年建成 ,板楼,2.5元/平米/月,成都蜀信物业服务有限公司,成都置信集团,91栋,197户
滨江东路230号,(锦江合江亭)滨江东路230号,17188,1987年建成 ,塔楼,0.5元/平米/月,业主自筹物业,无开发商,1栋,48户
绿岑居,(双流东升镇)东升街道福田路一段18号（双流县交警大队旁）,16684,2016年建成 ,塔楼/塔板结合,1.85元/平米/月,成都家和业好物业管理有限公司,成都市致翔贸易有限公司,3栋,278户
红瓦寺街5号,(武侯川大)红瓦寺街5号,16221,1996年建成 ,板楼,0.5元/平米/月,暂无信息,无,1栋,24户
金盾路50号,(青羊人民公园)金盾路50号,16527,1988年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,73户
大石东路5号,(青羊人民公园)大石东路5号,16004,1990年建成 ,板楼,0.8元/平米/月,蓝光嘉宝物业金管家,大庆市金茂投资有限公司,2栋,97户
三圣街38号,(锦江合江亭)三圣街38号,17476,1990年建成 ,板楼/塔板结合,0.5元/平米/月,私人承办物业,无开发商,1栋,49户
三圣街2号,(锦江合江亭)三圣街2号,17052,1990年建成 ,板楼,0.5元/平米/月,暂无信息,无,1栋,38户
雅仕苑,(锦江合江亭)龙王庙南街20号,16208,1990年建成 ,板楼/塔板结合,0.5元/平米/月,暂无信息,成都武侯蓝光房地产开发有限公司,4栋,183户
正府街28号,(青羊太升路)正府街28号,15932,1999年建成 ,板楼,0.2至0.6元/平米/月,无物业管理服务,无,3栋,75户
照壁街,(青羊太升路)照壁街,17216,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,108户
中学路33号,(武侯华西)中学路33号,17417,1996年建成 ,板楼,0.5元/平米/月,四川华西集团物业管理有限公司,四川华西集团有限公司,4栋,81户
洗面桥巷66号,(武侯华西)洗面桥巷66号,17303,1985年建成 ,板楼,1.7元/平米/月,小区物业,成都置信集团,3栋,108户
北站西二路20号,(金牛金牛万达)北站西二路20号,15627,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1栋,79户
懋园九里居,(金牛沙湾)沙湾东一路10号,16121,2004年建成 ,塔楼/板楼,0.6至1.2元/平米/月,私人承办物业,无开发商,2栋,236户
福珠苑,"(青羊草市街)西珠街8号, 西珠市街53号",17375,1955年建成 ,塔板结合,0.5至0.6元/平米/月,业主自筹物业,无开发商,7栋,233户
北苑富兴公寓,(金牛马鞍路)一环路北四段168号,15788,2000年建成 ,板楼,0.5至1.2元/平米/月,业主自筹物业,无开发商,2栋,182户
枫祥苑,(成华东郊记忆)圣灯路88号,14946,2008年建成 ,板楼/塔板结合,1.43至2元/平米/月,中房集团成都物业有限公司,中房集团成都房地产开发总公司,7栋,502户
自由自宅,(青羊草市街)福德街15号,16185,2005年建成 ,塔楼,1元/平米/月,业主自筹物业,无开发商,1栋,199户
倒桑树街106号,(武侯武侯祠)倒桑树街106号,15892,2000年建成 ,板楼,暂无信息,街道办事处（居委会）代管物业,无开发商,2栋,96户
陕西街100号,(青羊人民公园)陕西街100号,17253,1990年建成 ,板楼/塔板结合,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,6栋,199户
洗面桥街19号,(武侯华西)洗面桥街19号,15966,1999年建成 ,板楼,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,59户
南河公寓,(武侯武侯祠)南浦中路1号,15836,2000年建成 ,板楼,0.5至16元/平米/月,街道办事处（居委会）代管物业,成都玉屏房产开发有限公司,1栋,37户
怡康城市公寓,(高新衣冠庙)肖家河东一巷6号,15961,2000年建成 ,板楼,1.5至2元/平米/月,私人承办物业,无开发商,1栋,84户
金荷名邸,(金牛金牛万达)解放西路8号,15795,2005年建成 ,塔板结合,1.5元/平米/月,成都燕沙物业管理有限责任公司,成都川金房地产开发有限公司,1栋,323户
府青惠园,(成华八里小区)府青东街27号,17457,1999年建成 ,板楼/塔板结合,0.6至1.2元/平米/月,私人承办物业,无开发商,5栋,978户
猛追湾街26号,(成华猛追湾)猛追湾街26号,16737,1994年建成 ,板楼,暂无信息,小区物管处,无开发商,2栋,70户
东较场街73号,(锦江红星路)东较场街73号,16307,1998年建成 ,塔板结合,0.5至2元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,77户
电信路1号,(武侯华西)电信路1号,16213,1987年建成 ,板楼/塔板结合,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,12栋,658户
西胜街17号,(青羊宽窄巷子)西胜街17号,16764,1999年建成 ,板楼,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,11户
双华苑(成华),(成华新华公园)双林路,16890,2000年建成 ,塔楼/板楼,0.5至1.25元/平米/月,小区物管处,无开发商,2栋,332户
西安中路2号,(金牛通惠门)西安中路2号,15901,1994年建成 ,塔楼/塔板结合,0.8元/平米/月,暂无信息,暂无信息,2栋,41户
12中街3号,(武侯川音)12中街3号,15873,1996年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,1栋,16户
上池正街93号,(青羊人民公园)上池正街93号,16388,1989年建成 ,板楼,0.5元/平米/月,小区物管处,无开发商,1栋,85户
文庙前街90号,(青羊人民公园)文庙前街90号,15860,1995年建成 ,板楼,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,4栋,40户
静馨苑,(武侯棕北)科华巷5号,16114,1995年建成 ,板楼,0.5元/平米/月,无物业管理服务, 重庆汇东房地产开发有限公司,1栋,62户
和平佳苑,(高新东苑)天仁北二街129号,15992,2002年建成 ,板楼,0.3元/平米/月,私人承办物业,无开发商,3栋,147户
11街13号,(武侯川音)11街,16848,1992年建成 ,板楼,0.8元/平米/月,暂无信息,无开发商,3栋,83户
棕竹园,(武侯川大)二环路南一段7号,15651,2000年建成 ,板楼,0.45元/平米/月,小区业主自发,无开发商,3栋,157户
洛阳路138号,(青羊八宝街)洛阳路138号,16788,1992年建成 ,板楼,1.5元/平米/月,成都成沁,成都铁路局,2栋,60户
陕西街214号,(青羊人民公园)陕西街214号,15939,1992年建成 ,板楼,0.5元/平米/月,暂无信息,无,3栋,128户
文庙后街34号,(青羊人民公园)文庙后街34号,15964,1998年建成 ,板楼/塔板结合,0.5元/平米/月,街道办事处（居委会）代管物业,单位自建,3栋,59户
文庙前街94号,(青羊人民公园)文庙前街94号,17008,1980年建成 ,塔板结合,暂无信息,私人承办物业,无,1栋,42户
文庙前街71号,(青羊人民公园)文庙前街71号,17301,1986年建成 ,塔板结合,0.5至1.2元/平米/月,私人承办物业,单位自建,2栋,40户
文庙后街81号,(青羊人民公园)文庙后街81号,17077,2000年建成 ,塔板结合,0.5元/平米/月,街道办事处（居委会）代管物业, 重庆桥达茂宸房地产开发有限公司,1栋,42户
饮马河街36号,(青羊八宝街)饮马河街36号,16176,1998年建成 ,板楼,0.5元/平米/月,私人承办物业,"""浙江富园房地产开发有限公司",1栋,28户
东城根南街56号,(青羊人民公园)东城根南街56号,17464,1996年建成 ,板楼/塔板结合,0.6元/平米/月,街道办事处（居委会）代管物业,无,3栋,94户
小福建营巷13号,(青羊太升路)小福建营巷13号,16664,暂无信息 ,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,42户
镋钯街75号,(锦江合江亭)镋钯街75号,17427,暂无信息 ,板楼,0.55元/平米/月,业主自筹物业,暂无信息,1栋,40户
西城巷4号,(青羊八宝街)西城巷4号,17308,1985年建成 ,板楼,0.3元/平米/月,业主自筹物业,未知,1栋,12户
下莲池街6号院,(锦江合江亭)下莲池街6号院,16869,1982年建成 ,板楼,0.2元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,1栋,36户
义学巷23号,(锦江合江亭)义学巷23号,16322,1990年建成 ,板楼,2元/平米/月,业主自筹物业, 陕西亿润经贸有限公司 ,2栋,67户
墨池家苑,(武侯川音)四维村6号,16613,1993年建成 ,板楼,0.8元/平米/月,暂无信息,信阳水墨贤嶺置业有限公司,4栋,174户
沙湾东一路2号,(金牛沙湾)沙湾东一路2号,16412,1990年建成 ,板楼,0.15元/平米/月,小区业主委员会自管,无开发商,1栋,21户
署前街28号,(青羊八宝街)署前街28号,17039,2005年建成 ,板楼,暂无信息,暂无信息, 合肥万科瑞翔地产有限公司,4栋,58户
将军街58号,(青羊宽窄巷子)将军街58号,16030,2002年建成 ,板楼,0.3元/平米/月,街道办事处（居委会）代管物业,暂无信息,1栋,18户
蓉北商贸大道一段39号,(金牛五块石)蓉北商贸大道一段39号,16875,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,3栋,34户
西府北街25号,(青羊八宝街)西府北街25号,16506,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,14户
东光街南二巷9号,(锦江静居寺)东光街南二巷9号,15673,1995年建成 ,板楼,0.5元/平米/月,成都大业物业管理有限责任公司,东光安通房地产开发有限公司,2栋,57户
解放西街8号,(金牛金牛万达)解放西街8号,16405,1992年建成 ,板楼,0.5元/平米/月,暂无信息,单位自建,1栋,105户
三里花城三期,(双流双流城区)东升街道宜城大街一段333号,15119,2012年建成 ,塔板结合,2.8元/平米/月,成都双流百信物业管理有限责任公司,北京住总集团,3栋,750户
忠孝巷6号,(青羊人民公园)忠孝巷6号,16710,1996年建成 ,板楼,0.5元/平米/月,成都嘉禾宝业物业管理有限公司,水利电力规划院,1栋,37户
佳年华广场二期,(成华东客站)峨眉山路369号,16872,2019年建成 ,塔楼,2.18至6元/平米/月,四川通用物业管理有限责任公司,成都佳成时代投资有限公司,4栋,1437户
香澜坊,(成华驷马桥)站北中街8号,15969,2018年建成 ,塔楼,2.18元/平米/月,四川舜苑资产经营管理有限责任公司	,成都北新置地有限公司,2栋,289户
成飞350小区,(青羊外光华)经一路79号,16408,暂无信息 ,板楼,0.53元/平米/月,小区物业,暂无信息,4栋,112户
文翁路182号,(青羊人民公园)文翁路182号,16871,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,2栋,32户
牛王庙巷8号,(锦江合江亭)牛王庙巷8号,17010,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,1户
大安东路49号,(青羊草市街)大安东路49号,16709,1990年建成 ,板楼,暂无信息,无物业管理服务,无,1栋,28户
二环路北三段528号,(金牛金牛万达)二环路北三段528号,15989,2012年建成 ,塔楼,2.6元/平米/月,大连万达物业管理有限公司成都分公司,大连万达广场置业有限公司,4栋,86户
五福街25号院,(青羊宽窄巷子)五福街25号院,15952,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,27户
六合佳苑,(天府新区麓山)黄金桥路33号,16994,2017年建成 ,塔楼,0.4元/平米/月,暂无信息,暂无信息,6栋,946户
万科第五城三期,(双流蛟龙港)康家堰路二段306号,14775,2016年建成 ,塔板结合,2.8至2.85元/平米/月,暂无信息,万科地产,10栋,801户
五星蕊园,(龙泉驿大面)八一大路五星蕊园,16478,2005年建成 ,塔楼/板楼,0.5元/平米/月,成都干道恒兴物业管理公司,新乡市五星置业房产开发公司,10栋,1811户
暑袜中街58号,(锦江盐市口)暑袜中街58号,16022,暂无信息 ,平房,暂无信息,暂无信息,暂无信息,1栋,2户
安菲娅岛,(新津新津)柏拉图大道666号,15820,2012年建成 ,塔楼,2.6至6.8元/平米/月,暂无信息,成都锦绣岷江城市建设开发有限公司,16栋,90户
二环路北三段528号,(金牛金牛万达)二环路北三段528号,15989,2012年建成 ,塔楼,2.6元/平米/月,大连万达物业管理有限公司成都分公司,大连万达广场置业有限公司,4栋,86户
